emotion,precision,recall,f1_score,support
angry,0.9214586255259467,0.9087136929460581,0.915041782729805,1446
disgust,0.6704288939051919,0.7734375,0.7182587666263603,384
fearful,0.6515837104072398,0.7422680412371134,0.6939759036144578,388
happy,0.9009468317552805,0.8602225312934632,0.8801138384916399,1438
neutral,0.9112306657700068,0.935127674258109,0.923024523160763,1449
sad,0.9580838323353293,0.8907446068197634,0.9231878831590334,1437
surprised,0.9300087489063867,0.9593862815884476,0.9444691248334074,1108
